Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played,Home_Game
Pereyra,Juventus,0,0,0,0,0,0,0,0,0.11304347826087,0
Massimiliano Allegri,Juventus(COACH),0,0,0,0,0,0,0,0,0,0
"Ter Stegen
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0.782608695652174,1
Piqué,Barcelona,0,0.071428571428572,0,0,0.272727272727273,0,0,0,0.782608695652174,1
Rakitić,Barcelona,0,0.071428571428572,0.25,0,0.181818181818182,0.12,0,0,0.782608695652174,1
Sergio Busquets,Barcelona,0,0,0,0,0.090909090909091,0,0.142857142857143,0,0.478260869565217,1
Iniesta,Barcelona,0,0,0,0.333333333333333,0.090909090909091,0,0.428571428571429,0,0.4,1
Luis Suárez,Barcelona,0,0,0,0,0,0.12,0.142857142857143,0.142857142857143,0.652173913043478,1
Messi,Barcelona,0,0.285714285714286,0.25,0,0.090909090909091,0,0.142857142857143,0,0.782608695652174,1
Neymar,Barcelona,0.5,0.214285714285714,0.75,0,0.090909090909091,0.16,0.285714285714286,0,0.782608695652174,1
Mascherano,Barcelona,0,0,0,0,0.181818181818182,0,0,0,0.782608695652174,1
Jordi Alba,Barcelona,0,0,0,0,0.181818181818182,0,0,0,0.782608695652174,1
Dani Alves,Barcelona,0,0.142857142857143,0.25,0.333333333333333,0.272727272727273,0.2,0.428571428571429,0,0.782608695652174,1
"Bravo
 (GK)",Barcelona,0,0,0,0,0,0,0,0,0,1
Xavi Hernández,Barcelona,0,0,0,0,0.090909090909091,0.04,0,0,0.382608695652174,1
Pedro Rodríguez,Barcelona,0,0,0,0,0,0,0,0,0.130434782608696,1
Rafinha,Barcelona,0,0,0,0,0,0,0,0,0,1
Bartra,Barcelona,0,0,0,0,0,0,0,0,0,1
Sergi Roberto,Barcelona,0,0,0,0,0,0,0,0,0.304347826086957,1
Adriano,Barcelona,0,0,0,0,0,0,0,0,0,1
Luis Enrique,Barcelona(COACH),0,0,0,0,0,0,0,0,0,1
"Sirigu
 (GK)",Paris,0,0,0,0,0,0,0,0,0.782608695652174,0
Cabaye,Paris,0,0.142857142857143,0,0,0.090909090909091,0,0.285714285714286,0,0.573913043478261,0
Marquinhos,Paris,0,0,0,0,0.636363636363636,0,0,0,0.782608695652174,0
Cavani,Paris,0,0.071428571428572,0,0,0.272727272727273,0,0.142857142857143,0,0.695652173913043,0
Ibrahimović,Paris,0,0.071428571428572,0.25,0,0.090909090909091,0.04,0,0.142857142857143,0.782608695652174,0
Matuidi,Paris,0,0.071428571428572,0,0,0.272727272727273,0.12,0.285714285714286,0.142857142857143,0.695652173913043,0
Maxwell,Paris,0,0,0,0,0.272727272727273,0.2,0.142857142857143,0.142857142857143,0.782608695652174,0
Van der Wiel,Paris,0,0,0,0,0.090909090909091,0.04,0.285714285714286,0,0.782608695652174,0
Verratti,Paris,0,0.071428571428572,0,0,0.272727272727273,0,0.571428571428571,0,0.782608695652174,0
Pastore,Paris,0,0.071428571428572,0,0,0.181818181818182,0,0.285714285714286,0,0.782608695652174,0
David Luiz,Paris,0,0,0,0,0.363636363636364,0,0.285714285714286,0,0.782608695652174,0
"Douchez
 (GK)",Paris,0,0,0,0,0,0,0,0,0,0
Camara,Paris,0,0,0,0,0,0,0,0,0,0
Moura,Paris,0,0.071428571428572,0,0,0,0,0,0,0.208695652173913,0
Bahebeck,Paris,0,0,0,0,0,0,0,0,0,0
Digne,Paris,0,0,0,0,0,0,0,0,0,0
Lavezzi,Paris,0,0.071428571428572,0.25,0,0,0.04,0,0,0.086956521739131,0
Rabiot,Paris,0,0,0,0,0.272727272727273,0,0,0,0.086956521739131,0
Laurent Blanc,Paris(COACH),0,0,0,0,0,0,0,0,0,0
"Neuer
 (GK)",Bayern,0,0,0,0,0,0,0,0,0.782608695652174,1
Xabi Alonso,Bayern,0.25,0.142857142857143,0.25,0,0,0.08,0.142857142857143,0,0.782608695652174,1
