Players,Embeddings
"('Milik', 'Napoli')",[0.15 0.   0.   0.   0.   0.   0.   0.   0.  ]
"('Maurizio Sarri', 'Napoli(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Alex Telles', 'Porto')","[1.         0.03571429 0.04166667 0.16666667 0.05555556 0.52941176
 0.23333333 0.11904762 0.04761905]"
"('Corona', 'Porto')","[0.74074074 0.07142857 0.04166667 0.         0.05555556 0.23529412
 0.1        0.04761905 0.        ]"
"('Daniel Carriço', 'Sevilla')","[0.12962963 0.         0.         0.         0.         0.
 0.03333333 0.04761905 0.        ]"
"('Vietto', 'Sevilla')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Claudio Ranieri', 'Leicester(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Hernández', 'Leverkusen')","[0.5        0.17857143 0.25       0.         0.         0.02941176
 0.         0.07142857 0.        ]"
"('Havertz', 'Leverkusen')","[0.62222222 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Henrichs', 'Leverkusen')","[1.         0.07142857 0.         0.         0.33333333 0.11764706
 0.3        0.14285714 0.        ]"
"('Caio Henrique', 'Atlético')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Nolito', 'Man. City')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Giaccherini', 'Napoli')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Rafa Silva', 'Benfica')","[0.74444444 0.14285714 0.         0.         0.         0.
 0.         0.         0.        ]"
"('Filipe Augusto', 'Benfica')","[0.48888889 0.         0.         0.         0.         0.
 0.         0.28571429 0.        ]"
"('Nkunku', 'Paris')","[0.11666667 0.         0.         0.         0.         0.
 0.05       0.07142857 0.        ]"
"('Theo Hernández', 'Real Madrid')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Karius\n (GK)', 'Liverpool')","[1.         0.         0.         0.         0.         0.
 0.01428571 0.         0.        ]"
"('Van Dijk', 'Liverpool')","[0.92307692 0.03296703 0.05769231 0.15384615 0.02564103 0.
 0.14615385 0.10989011 0.        ]"
"('Wijnaldum', 'Liverpool')","[0.78974359 0.04945055 0.07692308 0.15384615 0.02564103 0.00452489
 0.03076923 0.07692308 0.01098901]"
"('Lovren', 'Liverpool')","[0.66666667 0.01785714 0.         0.         0.02777778 0.00490196
 0.08333333 0.07142857 0.        ]"
"('Milner', 'Liverpool')","[0.87777778 0.06122449 0.05357143 0.         0.11904762 0.18907563
 0.11428571 0.23469388 0.        ]"
"('Firmino', 'Liverpool')","[0.78290598 0.16483516 0.23076923 0.38461538 0.15384615 0.02262443
 0.02307692 0.12087912 0.04395604]"
"('Salah', 'Liverpool')","[0.84017094 0.22527473 0.28846154 0.46153846 0.12820513 0.07239819
 0.03076923 0.0989011  0.08791209]"
"('Henderson', 'Liverpool')","[0.84017094 0.03296703 0.01923077 0.         0.02564103 0.04977376
 0.12307692 0.13186813 0.01098901]"
"('Mané', 'Liverpool')","[0.96825397 0.16836735 0.23214286 0.5        0.02380952 0.04201681
 0.05714286 0.21428571 0.14285714]"
"('Robertson', 'Liverpool')","[0.94166667 0.04166667 0.08333333 0.         0.         0.12254902
 0.09166667 0.0952381  0.        ]"
"('Alexander-Arnold', 'Liverpool')","[0.82222222 0.04081633 0.01785714 0.         0.04761905 0.27731092
 0.22142857 0.07142857 0.01020408]"
"('Mignolet\n (GK)', 'Liverpool')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Clyne', 'Liverpool')",[0.02 0.   0.   0.   0.   0.   0.   0.   0.  ]
"('Klavan', 'Liverpool')","[0.05777778 0.         0.         0.         0.         0.
 0.         0.05714286 0.        ]"
"('Moreno', 'Liverpool')","[0.11728395 0.02380952 0.02777778 0.         0.         0.0130719
 0.03333333 0.         0.        ]"
"('Lallana', 'Liverpool')","[0.28148148 0.01190476 0.         0.         0.         0.00980392
 0.01666667 0.02380952 0.04761905]"
"('Emre Can', 'Liverpool')","[0.48333333 0.         0.         0.         0.         0.02941176
 0.05       0.14285714 0.07142857]"
"('Solanke', 'Liverpool')","[0.04888889 0.         0.         0.         0.         0.
 0.         0.05714286 0.        ]"
"('Jürgen Klopp', 'Liverpool(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Alisson Becker\n (GK)', 'Roma')","[1.         0.         0.         0.         0.         0.
 0.01666667 0.         0.        ]"
"('Lorenzo Pellegrini', 'Roma')","[0.29166667 0.05357143 0.09375    0.         0.         0.06617647
 0.0375     0.07142857 0.        ]"
"('Kolarov', 'Roma')","[1.         0.09821429 0.0625     0.         0.04166667 0.51470588
 0.1125     0.19642857 0.01785714]"
"('Schick', 'Roma')","[0.35079365 0.06122449 0.03571429 0.         0.         0.
 0.01428571 0.10204082 0.02040816]"
"('Fazio', 'Roma')","[1.         0.04081633 0.         0.         0.         0.05042017
 0.14285714 0.14285714 0.02040816]"
"('Skorupski\n (GK)', 'Roma')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Juan Jesus', 'Roma')","[0.34305556 0.         0.         0.         0.         0.
 0.0375     0.08928571 0.        ]"
"('Cengiz Ünder', 'Roma')","[0.52666667 0.07142857 0.1        0.2        0.06666667 0.07058824
 0.04       0.02857143 0.08571429]"
"('Gonalons', 'Roma')","[0.20555556 0.01785714 0.         0.         0.         0.
 0.1        0.03571429 0.        ]"
"('Bruno Peres', 'Roma')","[0.20185185 0.         0.         0.         0.         0.00980392
 0.1        0.         0.        ]"
"('Gerson', 'Roma')","[0.09555556 0.04285714 0.1        0.         0.         0.
 0.         0.05714286 0.        ]"
"('Antonucci', 'Roma')","[0.16666667 0.         0.         0.         0.         0.05882353
 0.         0.         0.        ]"
"('Eusebio Di Francesco', 'Roma(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Ings', 'Liverpool')","[0.1        0.02380952 0.08333333 0.         0.05555556 0.
 0.01666667 0.02380952 0.02380952]"
"('Woodburn', 'Liverpool')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Ceballos', 'Real Madrid')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Süle', 'Bayern')","[1.         0.00892857 0.         0.         0.         0.00735294
 0.05       0.03571429 0.        ]"
"('James Rodríguez', 'Bayern')","[0.90972222 0.13392857 0.15625    0.125      0.04166667 0.38235294
 0.075      0.08928571 0.03571429]"
"('Tolisso', 'Bayern')","[0.26666667 0.05357143 0.0625     0.         0.08333333 0.01470588
 0.         0.07142857 0.        ]"
"('Wagner', 'Bayern')","[1.         0.02380952 0.08333333 0.16666667 0.         0.00980392
 0.         0.07142857 0.        ]"
"('Mai', 'Bayern')",[0.5 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Rudy', 'Bayern')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Dorsch', 'Bayern')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Jupp Heynckes', 'Bayern(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Vallejo', 'Real Madrid')","[0.2        0.         0.         0.         0.         0.
 0.         0.02857143 0.        ]"
"('Oxlade-Chamberlain', 'Liverpool')","[0.35740741 0.04761905 0.125      0.16666667 0.         0.00980392
 0.03333333 0.         0.        ]"
"('Strootman', 'Roma')","[1.         0.04285714 0.05       0.         0.06666667 0.04705882
 0.1        0.34285714 0.        ]"
"('Banega', 'Sevilla')","[0.9962963  0.0952381  0.08333333 0.         0.         0.35294118
 0.06666667 0.19047619 0.        ]"
"('Jesús Navas', 'Sevilla')","[1.         0.02380952 0.         0.         0.         0.1372549
 0.2        0.0952381  0.        ]"
"('Pizarro', 'Sevilla')","[0.25833333 0.         0.         0.         0.         0.
 0.         0.10714286 0.        ]"
"('Muriel', 'Sevilla')","[0.53333333 0.16071429 0.25       0.         0.         0.
 0.025      0.03571429 0.03571429]"
"('Nolito', 'Sevilla')","[0.025      0.         0.         0.         0.         0.
 0.         0.03571429 0.03571429]"
"('Arana', 'Sevilla')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Ramírez', 'Sevilla')","[0.13703704 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Vincenzo Montella', 'Sevilla(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Llorente', 'Real Madrid')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('De Sciglio', 'Juventus')","[0.65       0.02380952 0.         0.         0.         0.06862745
 0.06666667 0.11904762 0.        ]"
"('Douglas Costa', 'Juventus')","[0.82       0.02857143 0.         0.         0.         0.10588235
 0.12       0.22857143 0.02857143]"
"('Matuidi', 'Juventus')","[0.80952381 0.03061224 0.03571429 0.14285714 0.         0.07563025
 0.12857143 0.16326531 0.04081633]"
"('Szczęsny\n (GK)', 'Juventus')",[0.5 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Semedo', 'Barcelona')","[0.6125     0.         0.         0.         0.         0.03676471
 0.0625     0.125      0.01785714]"
"('Dembélé', 'Barcelona')","[0.23580247 0.06349206 0.08333333 0.22222222 0.         0.0130719
 0.01111111 0.06349206 0.        ]"
"('Paulinho', 'Barcelona')","[0.33611111 0.03571429 0.0625     0.         0.         0.01470588
 0.025      0.         0.        ]"
"('Ernesto Valverde', 'Barcelona(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Ederson\n (GK)', 'Man. City')","[0.875      0.         0.         0.         0.04166667 0.
 0.         0.         0.        ]"
"('Walker', 'Man. City')","[0.875      0.01785714 0.         0.         0.         0.11029412
 0.0875     0.08928571 0.01785714]"
"('Laporte', 'Man. City')","[0.85       0.02678571 0.         0.         0.         0.05882353
 0.1        0.07142857 0.        ]"
"('Bernardo Silva', 'Man. City')","[0.83174603 0.12244898 0.10714286 0.42857143 0.0952381  0.08403361
 0.12857143 0.14285714 0.        ]"
"('Jesus', 'Man. City')","[0.58333333 0.07142857 0.125      0.5        0.         0.
 0.01666667 0.07142857 0.14285714]"
"('Gündoğan', 'Man. City')","[0.81805556 0.125      0.15625    0.125      0.         0.06617647
 0.125      0.03571429 0.        ]"
"('Zinchenko', 'Man. City')","[0.40666667 0.         0.         0.         0.06666667 0.01176471
 0.1        0.08571429 0.        ]"
"('Foden', 'Man. City')","[0.21296296 0.02380952 0.08333333 0.16666667 0.         0.
 0.         0.02380952 0.        ]"
"('Masterson', 'Liverpool')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Danilo', 'Man. City')","[0.41111111 0.02857143 0.         0.         0.         0.01176471
 0.1        0.02857143 0.        ]"
"('Defrel', 'Roma')","[0.11111111 0.03571429 0.125      0.         0.         0.
 0.         0.         0.        ]"
"('Bentancur', 'Juventus')","[0.48253968 0.04081633 0.         0.         0.         0.02521008
 0.08571429 0.14285714 0.        ]"
"('Kjær', 'Sevilla')",[1.   0.   0.   0.   0.   0.   0.15 0.   0.  ]
"('Geis', 'Sevilla')","[0.00555556 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Rüdiger', 'Chelsea')","[1.         0.10714286 0.         0.         0.         0.
 0.15       0.5        0.07142857]"
"('Alonso', 'Chelsea')","[1.         0.17857143 0.25       0.         0.         0.08823529
 0.15       0.35714286 0.        ]"
"('Kanté', 'Chelsea')","[1.         0.03571429 0.         0.         0.         0.
 0.4        0.14285714 0.        ]"
"('Moses', 'Chelsea')","[0.87222222 0.07142857 0.         0.         0.         0.05882353
 0.05       0.21428571 0.        ]"
"('Giroud', 'Chelsea')","[0.37222222 0.03571429 0.         0.         0.         0.
 0.         0.14285714 0.28571429]"
"('A. Christensen', 'Chelsea')","[1.         0.         0.         0.         0.         0.
 0.1        0.14285714 0.        ]"
"('Caballero\n (GK)', 'Chelsea')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Morata', 'Chelsea')","[0.16666667 0.         0.         0.         0.         0.02941176
 0.         0.07142857 0.07142857]"
"('Bakayoko', 'Chelsea')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Zappacosta', 'Chelsea')","[0.12777778 0.03571429 0.125      0.         0.         0.02941176
 0.         0.         0.        ]"
"('Emerson', 'Chelsea')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Antonio Conte', 'Chelsea(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Tolga Zengin\n (GK)', 'Beşiktaş')",[0.5 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Quaresma', 'Beşiktaş')","[1.         0.21428571 0.25       0.         0.         0.41176471
 0.05       0.07142857 0.        ]"
"('Oğuzhan Özyakup', 'Beşiktaş')","[0.5        0.         0.         0.         0.         0.02941176
 0.1        0.21428571 0.        ]"
"('Mustafa Pektemek', 'Beşiktaş')","[1.         0.14285714 0.25       0.         0.         0.05882353
 0.1        0.28571429 0.14285714]"
"('Medel', 'Beşiktaş')","[0.97222222 0.03571429 0.         0.         0.         0.
 0.1        0.35714286 0.        ]"
"('Lens', 'Beşiktaş')","[0.33333333 0.07142857 0.125      0.         0.         0.
 0.         0.28571429 0.        ]"
"('Tolgay Arslan', 'Beşiktaş')","[0.36111111 0.         0.         0.         0.         0.
 0.1        0.14285714 0.        ]"
"('Necip Uysal', 'Beşiktaş')",[1.  0.  0.  0.  0.  0.  0.1 0.  0. ]
"('Vágner Love', 'Beşiktaş')","[0.73333333 0.10714286 0.125      0.5        0.         0.05882353
 0.         0.07142857 0.        ]"
"('Gökhan Gönül', 'Beşiktaş')","[0.61666667 0.03571429 0.         0.         0.16666667 0.08823529
 0.15       0.07142857 0.14285714]"
"('Caner Erkin', 'Beşiktaş')","[0.88333333 0.03571429 0.         0.         0.         0.
 0.6        0.14285714 0.        ]"
"('Fabri\n (GK)', 'Beşiktaş')",[0.5 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Adriano', 'Beşiktaş')","[0.5        0.         0.         0.         0.         0.08823529
 0.         0.14285714 0.        ]"
"('Babel', 'Beşiktaş')","[0.58333333 0.         0.         0.         0.         0.08823529
 0.         0.28571429 0.        ]"
"('Negredo', 'Beşiktaş')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Hutchinson', 'Beşiktaş')","[0.66666667 0.         0.         0.         0.         0.
 0.05       0.07142857 0.        ]"
"('Fatih Aksoy', 'Beşiktaş')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Talisca', 'Beşiktaş')","[0.66666667 0.21428571 0.125      0.         0.         0.02941176
 0.05       0.07142857 0.07142857]"
"('Şenol Güneş', 'Beşiktaş(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('De Gea\n (GK)', 'Man. United')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Bailly', 'Man. United')",[0.6 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Alexis Sánchez', 'Man. United')","[0.48611111 0.03571429 0.0625     0.         0.         0.02941176
 0.075      0.14285714 0.03571429]"
"('R. Lukaku', 'Man. United')","[0.66851852 0.10714286 0.125      0.33333333 0.         0.05882353
 0.         0.0952381  0.02380952]"
"('Smalling', 'Man. United')","[1.         0.04285714 0.         0.         0.         0.
 0.16       0.22857143 0.02857143]"
"('Lingard', 'Man. United')","[0.58444444 0.02857143 0.05       0.         0.         0.02352941
 0.02       0.14285714 0.        ]"
"('Young', 'Man. United')","[0.99444444 0.01190476 0.         0.         0.         0.21568627
 0.18333333 0.14285714 0.02380952]"
"('Rashford', 'Man. United')","[0.80925926 0.19047619 0.125      0.16666667 0.11111111 0.1372549
 0.05       0.16666667 0.07142857]"
"('A. Valencia', 'Man. United')","[0.92777778 0.         0.         0.         0.         0.05882353
 0.2        0.21428571 0.        ]"
"('Fellaini', 'Man. United')","[0.66666667 0.21428571 0.25       0.         0.         0.
 0.         0.28571429 0.        ]"
"('Matić', 'Man. United')","[0.75       0.         0.         0.         0.         0.01470588
 0.275      0.17857143 0.        ]"
"('Romero\n (GK)', 'Man. United')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Lindelöf', 'Man. United')","[0.83333333 0.01190476 0.         0.         0.         0.
 0.1        0.0952381  0.        ]"
"('Pogba', 'Man. United')","[0.82888889 0.07142857 0.05       0.         0.         0.01176471
 0.04       0.25714286 0.02857143]"
"('Mata', 'Man. United')","[0.30444444 0.01428571 0.         0.         0.         0.08235294
 0.04       0.14285714 0.02857143]"
"('Martial', 'Man. United')","[0.34666667 0.01428571 0.         0.         0.         0.02352941
 0.         0.         0.        ]"
"('Darmian', 'Man. United')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('McTominay', 'Man. United')","[0.8        0.02857143 0.05       0.         0.         0.02352941
 0.08       0.34285714 0.        ]"
"('José Mourinho', 'Man. United(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Butko', 'Shakhtar Donetsk')","[1.         0.         0.         0.         0.         0.05882353
 0.1        0.07142857 0.        ]"
"('Bernard', 'Shakhtar Donetsk')","[1.         0.03571429 0.         0.         0.         0.17647059
 0.1        0.07142857 0.        ]"
"('Ordets', 'Shakhtar Donetsk')","[0.5        0.         0.         0.         0.         0.
 0.         0.14285714 0.        ]"
"('Ferreyra', 'Shakhtar Donetsk')","[1.         0.21428571 0.375      0.5        0.         0.
 0.         0.42857143 0.21428571]"
"('Ismaily', 'Shakhtar Donetsk')","[1.         0.         0.         0.         0.         0.11764706
 0.15       0.14285714 0.        ]"
"('Kudryk\n (GK)', 'Shakhtar Donetsk')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Khocholava', 'Shakhtar Donetsk')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Alan Patrick', 'Shakhtar Donetsk')","[0.08888889 0.03571429 0.         0.         0.         0.
 0.         0.         0.        ]"
"('Petriak', 'Shakhtar Donetsk')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Zubkov', 'Shakhtar Donetsk')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Kovalenko', 'Shakhtar Donetsk')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Paulo Fonseca', 'Shakhtar Donetsk(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Adarabioyo', 'Man. City')","[0.01111111 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Brahim Díaz', 'Man. City')","[0.26666667 0.07142857 0.25       0.         0.         0.05882353
 0.         0.         0.14285714]"
"('Lacroix', 'Basel')","[1.         0.         0.         0.         0.         0.
 0.25       0.07142857 0.        ]"
"('M. Lang', 'Basel')","[1.         0.03571429 0.125      0.5        0.         0.08823529
 0.25       0.14285714 0.14285714]"
"('Oberlin', 'Basel')","[0.91111111 0.17857143 0.125      0.         0.         0.02941176
 0.         0.         0.07142857]"
"('Dié', 'Basel')","[1.         0.03571429 0.         0.         0.         0.
 0.25       0.35714286 0.        ]"
"('Elyounoussi', 'Basel')","[0.97222222 0.14285714 0.375      0.5        0.16666667 0.
 0.         0.14285714 0.14285714]"
"('Riveros', 'Basel')","[1.         0.10714286 0.125      0.         0.16666667 0.05882353
 0.15       0.07142857 0.07142857]"
"('Bua', 'Basel')","[0.40555556 0.         0.         0.         0.         0.
 0.05       0.07142857 0.14285714]"
"('Salvi\n (GK)', 'Basel')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Van Wolfswinkel', 'Basel')","[0.08888889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Stocker', 'Basel')","[0.51666667 0.07142857 0.         0.         0.         0.08823529
 0.15       0.         0.14285714]"
"('Al. Ajeti', 'Basel')","[0.10555556 0.         0.         0.         0.         0.
 0.         0.07142857 0.        ]"
"('Manzambi', 'Basel')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Petretta', 'Basel')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Kaiser', 'Basel')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Raphael Wicky', 'Basel(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Lloris\n (GK)', 'Tottenham')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Trippier', 'Tottenham')","[0.72361111 0.         0.         0.         0.08333333 0.23529412
 0.1125     0.125      0.        ]"
"('Vertonghen', 'Tottenham')","[0.93703704 0.04761905 0.05555556 0.11111111 0.03703704 0.03267974
 0.15555556 0.12698413 0.        ]"
"('Sánchez', 'Tottenham')","[0.625      0.         0.         0.         0.         0.
 0.125      0.07142857 0.        ]"
"('Son', 'Tottenham')","[0.85833333 0.26785714 0.4375     0.5        0.         0.03676471
 0.05       0.16071429 0.10714286]"
"('Kane', 'Tottenham')","[0.92888889 0.2        0.4        0.4        0.         0.04705882
 0.04       0.14285714 0.05714286]"
"('Dier', 'Tottenham')","[0.39814815 0.02380952 0.04166667 0.         0.         0.01960784
 0.01666667 0.04761905 0.        ]"
"('Dembélé', 'Tottenham')","[1.         0.         0.         0.         0.         0.
 0.15       0.42857143 0.        ]"
"('Alli', 'Tottenham')","[0.96349206 0.12244898 0.14285714 0.         0.14285714 0.01680672
 0.07142857 0.10204082 0.02040816]"
"('Eriksen', 'Tottenham')","[0.99135802 0.23809524 0.16666667 0.11111111 0.07407407 0.20915033
 0.11111111 0.03174603 0.03174603]"
"('Davies', 'Tottenham')","[0.4125     0.         0.         0.         0.         0.14705882
 0.05       0.14285714 0.        ]"
"('Vorm\n (GK)', 'Tottenham')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Rose', 'Tottenham')","[0.54074074 0.03174603 0.05555556 0.         0.         0.11764706
 0.05555556 0.0952381  0.        ]"
"('Lamela', 'Tottenham')","[0.2462963  0.         0.         0.         0.         0.05882353
 0.01666667 0.02380952 0.        ]"
"('Wanyama', 'Tottenham')","[0.29012346 0.00793651 0.         0.         0.         0.
 0.04444444 0.11111111 0.        ]"
"('Sissoko', 'Tottenham')","[0.64938272 0.01587302 0.         0.         0.03703704 0.0130719
 0.06666667 0.17460317 0.        ]"
"('Llorente', 'Tottenham')","[0.28472222 0.09821429 0.125      0.25       0.         0.
 0.         0.08928571 0.03571429]"
"('Moura', 'Tottenham')","[0.49753086 0.0952381  0.11111111 0.11111111 0.         0.00653595
 0.01111111 0.0952381  0.03174603]"
"('Mauricio Pochettino', 'Tottenham(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Gomez', 'Liverpool')","[0.34920635 0.01020408 0.         0.         0.         0.03361345
 0.08571429 0.04081633 0.        ]"
"('Matip', 'Liverpool')","[0.7962963  0.03174603 0.         0.         0.03703704 0.
 0.18888889 0.15873016 0.        ]"
"('Waris', 'Porto')","[0.53333333 0.07142857 0.25       0.         0.         0.
 0.1        0.14285714 0.07142857]"
"('Dalot', 'Porto')","[1.         0.         0.         0.         0.         0.
 0.2        0.14285714 0.        ]"
"('Bruno Costa', 'Porto')","[0.32222222 0.         0.         0.         0.         0.
 0.025      0.03571429 0.        ]"
"('Sérgio Oliveira', 'Porto')","[0.65555556 0.10714286 0.         0.         0.         0.11764706
 0.05       0.07142857 0.        ]"
"('Luís Mata', 'Porto')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Sérgio Conceição', 'Porto(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Berchiche', 'Paris')","[1.         0.03571429 0.         0.         0.         0.08823529
 0.1        0.07142857 0.        ]"
"('Mbappé', 'Paris')","[0.98611111 0.17857143 0.375      0.25       0.08333333 0.08823529
 0.025      0.03571429 0.17857143]"
"('Dani Alves', 'Paris')","[1.         0.08928571 0.         0.         0.         0.32352941
 0.225      0.10714286 0.03571429]"
"('Lo Celso', 'Paris')","[0.46666667 0.07142857 0.         0.         0.         0.
 0.         0.28571429 0.        ]"
"('L. Diarra', 'Paris')","[0.02777778 0.         0.         0.         0.         0.
 0.05       0.         0.        ]"
"('Shevchenko\n (GK)', 'Shakhtar Donetsk')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Roque Mesa', 'Sevilla')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Herrera', 'Man. United')","[0.59444444 0.14285714 0.         0.         0.         0.05882353
 0.1        0.21428571 0.        ]"
"('Pepe', 'Beşiktaş')","[1.         0.07142857 0.         0.         0.         0.
 0.1        0.28571429 0.        ]"
"('Vida', 'Beşiktaş')","[1.         0.         0.         0.         0.         0.
 0.         0.14285714 0.        ]"
"('D. Tošić', 'Beşiktaş')","[0.36666667 0.         0.         0.         0.         0.
 0.1        0.         0.        ]"
"('Drinkwater', 'Chelsea')","[0.06666667 0.         0.         0.         0.         0.
 0.         0.28571429 0.        ]"
"('Hudson-Odoi', 'Chelsea')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Hakimi', 'Real Madrid')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Neymar', 'Paris')","[1.         0.14285714 0.25       0.         0.         0.29411765
 0.         0.28571429 0.        ]"
"('Marega', 'Porto')","[1.         0.26785714 0.5625     0.25       0.08333333 0.13235294
 0.         0.17857143 0.03571429]"
"('Osorio', 'Porto')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Bernardeschi', 'Juventus')","[0.8        0.17142857 0.15       0.         0.06666667 0.12941176
 0.06       0.14285714 0.        ]"
"('Muratore', 'Juventus')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Aurier', 'Tottenham')","[0.75       0.         0.         0.         0.08333333 0.13235294
 0.15       0.14285714 0.        ]"
"('Gazzaniga\n (GK)', 'Tottenham')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Alderweireld', 'Tottenham')","[1.         0.06122449 0.03571429 0.         0.         0.00840336
 0.14285714 0.02040816 0.        ]"
"('Winks', 'Tottenham')","[0.81111111 0.03571429 0.         0.         0.         0.01470588
 0.075      0.         0.        ]"
"('Walker-Peters', 'Tottenham')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Foyth', 'Tottenham')","[0.18518519 0.         0.         0.         0.         0.01960784
 0.08333333 0.07142857 0.        ]"
"('Alisson Becker\n (GK)', 'Liverpool')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Fabinho', 'Liverpool')","[0.97936508 0.02040816 0.         0.         0.         0.
 0.17142857 0.30612245 0.        ]"
"('Kelleher\n (GK)', 'Liverpool')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Sturridge', 'Liverpool')","[0.01481481 0.         0.         0.         0.         0.
 0.01666667 0.         0.        ]"
"('Shaqiri', 'Liverpool')","[0.14285714 0.02040816 0.         0.         0.04761905 0.05042017
 0.         0.02040816 0.        ]"
"('Brewster', 'Liverpool')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Origi', 'Liverpool')","[0.32857143 0.03061224 0.10714286 0.28571429 0.         0.03361345
 0.01428571 0.10204082 0.02040816]"
"('Onana\n (GK)', 'Ajax')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('De Ligt', 'Ajax')","[1.         0.10714286 0.16666667 0.33333333 0.         0.00980392
 0.15       0.04761905 0.02380952]"
"('Van de Beek', 'Ajax')","[1.         0.11904762 0.20833333 0.33333333 0.05555556 0.
 0.13333333 0.07142857 0.0952381 ]"
"('Tadić', 'Ajax')","[1.         0.11904762 0.125      0.16666667 0.16666667 0.03921569
 0.         0.30952381 0.14285714]"
"('Mazraoui', 'Ajax')","[0.65777778 0.04285714 0.         0.         0.         0.01176471
 0.22       0.14285714 0.02857143]"
"('Blind', 'Ajax')","[1.         0.03571429 0.         0.         0.         0.00980392
 0.15       0.07142857 0.        ]"
