Players,Embeddings
"('Laurent Blanc', 'Paris(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Badstuber', 'Bayern')","[0.53611111 0.         0.         0.25       0.08333333 0.
 0.         0.         0.        ]"
"('Fabiano\n (GK)', 'Porto')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Martins Indi', 'Porto')","[0.68888889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Maicon', 'Porto')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Marcano', 'Porto')","[1.         0.01190476 0.04166667 0.         0.         0.00980392
 0.05       0.02380952 0.        ]"
"('Casemiro', 'Porto')",[1.   0.   0.   0.25 0.   0.   0.   0.   0.  ]
"('Quaresma', 'Porto')","[0.47222222 0.         0.         0.25       0.         0.
 0.         0.         0.        ]"
"('Brahimi', 'Porto')","[0.63148148 0.0297619  0.04166667 0.08333333 0.02777778 0.0245098
 0.04166667 0.04761905 0.01190476]"
"('Martínez', 'Porto')","[1.         0.         0.         0.66666667 0.         0.
 0.         0.         0.        ]"
"('Reyes', 'Porto')","[0.59166667 0.         0.         0.         0.         0.
 0.1        0.03571429 0.03571429]"
"('Herrera', 'Porto')","[0.9        0.04285714 0.05       0.1        0.         0.00588235
 0.08       0.12857143 0.        ]"
"('Óliver Torres', 'Porto')","[0.43148148 0.02380952 0.         0.         0.         0.
 0.03333333 0.         0.        ]"
"('Helton\n (GK)', 'Porto')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Quintero', 'Porto')",[0.025 0.    0.    0.    0.    0.    0.    0.    0.   ]
"('Evandro', 'Porto')","[0.3        0.         0.         0.         0.08333333 0.
 0.         0.         0.        ]"
"('Hernâni', 'Porto')","[0.09333333 0.01428571 0.         0.         0.         0.04705882
 0.         0.         0.        ]"
"('Ricardo', 'Porto')","[0.62592593 0.02380952 0.         0.         0.         0.05882353
 0.03333333 0.04761905 0.        ]"
"('Rúben Neves', 'Porto')","[0.29259259 0.01190476 0.         0.         0.         0.
 0.03333333 0.04761905 0.        ]"
"('Aboubakar', 'Porto')","[0.37777778 0.01428571 0.         0.2        0.         0.
 0.         0.02857143 0.02857143]"
"('Julen Lopetegui', 'Porto(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Danilo', 'Porto')","[0.91604938 0.05555556 0.02777778 0.11111111 0.         0.
 0.1        0.12698413 0.        ]"
"('Alex Sandro', 'Porto')","[1.         0.         0.         0.         0.11111111 0.
 0.         0.         0.        ]"
"('Lucic\n (GK)', 'Bayern')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Thiago Silva', 'Paris')","[0.85277778 0.02380952 0.02083333 0.08333333 0.         0.00490196
 0.10833333 0.0952381  0.        ]"
"('Kimpembe', 'Paris')","[0.44444444 0.02380952 0.05555556 0.11111111 0.         0.00653595
 0.02222222 0.06349206 0.        ]"
"('Montoya', 'Barcelona')","[0.88888889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Ricardo Carvalho', 'Monaco')",[0.5 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Mario Suárez', 'Atlético')","[0.66666667 0.         0.         0.33333333 0.         0.
 0.         0.         0.        ]"
"('Modrić', 'Real Madrid')","[0.90088889 0.05142857 0.04       0.         0.02666667 0.04705882
 0.168      0.09714286 0.        ]"
"('Weidenfeller\n (GK)', 'Dortmund')","[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Subotić', 'Dortmund')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('S. Bender', 'Dortmund')","[0.4037037  0.         0.         0.         0.         0.
 0.03333333 0.04761905 0.        ]"
"('Gündoğan', 'Dortmund')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Mkhitaryan', 'Dortmund')",[0.85 0.   0.   0.   0.   0.   0.   0.   0.  ]
"('Reus', 'Dortmund')","[0.94666667 0.14285714 0.3        0.4        0.         0.11764706
 0.06       0.02857143 0.08571429]"
"('Hummels', 'Dortmund')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Aubameyang', 'Dortmund')","[0.94074074 0.1547619  0.25       0.16666667 0.         0.01960784
 0.01666667 0.02380952 0.21428571]"
"('Kampl', 'Dortmund')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Papastathopoulos', 'Dortmund')","[0.91481481 0.         0.         0.         0.         0.
 0.16666667 0.0952381  0.        ]"
"('Schmelzer', 'Dortmund')","[0.58194444 0.01785714 0.03125    0.         0.04166667 0.08823529
 0.05       0.07142857 0.01785714]"
"('Langerak\n (GK)', 'Dortmund')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Kehl', 'Dortmund')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Kagawa', 'Dortmund')","[0.35       0.03571429 0.08333333 0.16666667 0.05555556 0.
 0.01666667 0.07142857 0.        ]"
"('Immobile', 'Dortmund')","[0.42222222 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Błaszczykowski', 'Dortmund')","[0.22777778 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Ramos', 'Dortmund')",[0.15 0.   0.   0.   0.   0.   0.   0.   0.  ]
"('Kirch', 'Dortmund')","[0.48888889 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Jürgen Klopp', 'Dortmund(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Hart\n (GK)', 'Man. City')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Sagna', 'Man. City')","[0.9037037  0.         0.         0.         0.         0.04575163
 0.07777778 0.0952381  0.        ]"
"('Kompany', 'Man. City')","[0.61759259 0.00595238 0.         0.         0.         0.
 0.10833333 0.04761905 0.        ]"
"('Milner', 'Man. City')","[0.98333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Nasri', 'Man. City')",[0.6 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Kolarov', 'Man. City')",[0.25 0.   0.   0.   0.   0.   0.   0.   0.  ]
"('Agüero', 'Man. City')","[0.85555556 0.14285714 0.17647059 0.41176471 0.05882353 0.02422145
 0.01176471 0.11764706 0.07563025]"
"('David Silva', 'Man. City')","[0.83402778 0.04017857 0.03125    0.0625     0.0625     0.125
 0.05625    0.125      0.03571429]"
"('Fernandinho', 'Man. City')","[0.89375    0.04910714 0.015625   0.0625     0.0625     0.01102941
 0.16875    0.30357143 0.00892857]"
"('Demichelis', 'Man. City')","[0.54666667 0.         0.         0.         0.         0.
 0.06       0.02857143 0.        ]"
"('Touré', 'Man. City')","[0.69305556 0.08035714 0.125      0.125      0.08333333 0.
 0.0125     0.07142857 0.        ]"
"('Caballero\n (GK)', 'Man. City')",[0.2 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Zabaleta', 'Man. City')","[0.25679012 0.         0.         0.         0.         0.
 0.04444444 0.         0.        ]"
"('Fernando', 'Man. City')","[0.78148148 0.03174603 0.         0.         0.03703704 0.
 0.17777778 0.25396825 0.        ]"
"('Džeko', 'Man. City')","[0.37777778 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Bony', 'Man. City')","[0.07777778 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Jesús Navas', 'Man. City')","[0.5691358  0.03174603 0.         0.         0.         0.13071895
 0.03333333 0.04761905 0.01587302]"
"('Lampard', 'Man. City')","[0.01666667 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Manuel Pellegrini', 'Man. City(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Cani', 'Atlético')","[0.25555556 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Ansaldi', 'Atlético')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Hernández', 'Atlético')","[0.41282051 0.02197802 0.         0.         0.         0.00904977
 0.06923077 0.07692308 0.        ]"
"('Leno\n (GK)', 'Leverkusen')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Spahić', 'Leverkusen')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Son', 'Leverkusen')","[0.92777778 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('L. Bender', 'Leverkusen')",[0.4 0.  0.  0.  0.  0.  0.  0.  0. ]
"('Drmic', 'Leverkusen')","[0.82777778 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Hakan Çalhanoğlu', 'Leverkusen')","[0.98333333 0.         0.         0.5        0.         0.
 0.         0.         0.        ]"
"('Hilbert', 'Leverkusen')","[1.         0.         0.         0.         0.         0.01960784
 0.1        0.04761905 0.        ]"
"('Wendell', 'Leverkusen')","[1.         0.01785714 0.         0.         0.         0.13235294
 0.05       0.03571429 0.        ]"
"('Ömer Toprak', 'Leverkusen')","[1.         0.         0.         0.         0.         0.02941176
 0.05       0.         0.        ]"
"('Castro', 'Leverkusen')",[1. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Bellarabi', 'Leverkusen')","[0.93333333 0.05357143 0.1875     0.25       0.         0.08823529
 0.05       0.25       0.03571429]"
"('Krešić\n (GK)', 'Leverkusen')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Reinartz', 'Leverkusen')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Rolfes', 'Leverkusen')","[0.19444444 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Kiessling', 'Leverkusen')","[0.17222222 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Papadopoulos', 'Leverkusen')","[0.52222222 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Boenisch', 'Leverkusen')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Brandt', 'Leverkusen')","[0.46666667 0.05357143 0.0625     0.         0.         0.07352941
 0.025      0.         0.        ]"
"('Roger Schmidt', 'Leverkusen(COACH)')",[0. 0. 0. 0. 0. 0. 0. 0. 0.]
"('Touré', 'Monaco')","[0.47301587 0.01020408 0.03571429 0.         0.         0.08403361
 0.05714286 0.06122449 0.        ]"
"('Ospina\n (GK)', 'Arsenal')","[0.83333333 0.         0.         0.         0.         0.
 0.         0.         0.        ]"
"('Mertesacker', 'Arsenal')",[0.75 0.   0.   0.   0.   0.   0.05 0.   0.  ]
"('Koscielny', 'Arsenal')","[0.92407407 0.         0.         0.         0.         0.
 0.26666667 0.07142857 0.        ]"
"('Özil', 'Arsenal')","[1.         0.03571429 0.08333333 0.         0.         0.08823529
 0.05       0.02380952 0.        ]"
"('Giroud', 'Arsenal')","[0.74259259 0.08333333 0.08333333 0.16666667 0.05555556 0.
 0.01666667 0.0952381  0.02380952]"
"('Alexis Sánchez', 'Arsenal')","[0.96666667 0.05952381 0.125      0.16666667 0.         0.02941176
 0.03333333 0.11904762 0.04761905]"
